date,time,brightness,altitude,azimuth,satellite,distance to flare centre,brightness at flare centre,sun altitude,city,country,latitude,longitude,
Mar 8, 04:36:30,-4.4,9°,108° (ESE),Iridium 65,13 km (W),-4.5,-4°,Helsinki,Finland,60.17,25.0,
Mar 9, 03:20:23,-1.2,29°,14° (NNE),Iridium 84,28 km (W),-7.0,-13°,Helsinki,Finland,60.17,25.0,
Mar 9, 04:35:40,-5.7,22°,61° (ENE),Iridium 21,15 km (E),-6.1,-3°,Helsinki,Finland,60.17,25.0,
Mar 10, 03:14:26,0.1,28°,14° (NNE),Iridium 12,44 km (W),-6.9,-13°,Helsinki,Finland,60.17,25.0,
Mar 10, 04:10:55,0.7,18°,56° (NE),Iridium 72,117 km (E),-5.8,-6°,Helsinki,Finland,60.17,25.0,
Mar 11, 02:59:43,0.5,23°,16° (NNE),Iridium 83,52 km (E),-6.6,-14°,Helsinki,Finland,60.17,25.0,
Mar 11, 04:04:51,-5.7,18°,56° (NE),Iridium 62,7 km (W),-5.7,-6°,Helsinki,Finland,60.17,25.0,
Mar 11, 04:54:24,-5.2,18°,118° (ESE),Iridium 67,11 km (W),-5.4,0°,Helsinki,Finland,60.17,25.0,
Mar 11, 19:26:57,-1.0,9°,3° (N),Iridium 65,97 km (E),-5.6,-24°,Helsinki,Finland,60.17,25.0,
Mar 12, 02:53:52,0.2,21°,16° (NNE),Iridium 56,50 km (E),-6.5,-15°,Helsinki,Finland,60.17,25.0,
Mar 12, 03:30:36,0.0,13°,47° (NE),Iridium 62,138 km (E),-5.4,-10°,Helsinki,Finland,60.17,25.0,
Mar 12, 03:39:59,-3.2,14°,50° (NE),Iridium 14,47 km (E),-5.5,-9°,Helsinki,Finland,60.17,25.0,
Mar 12, 03:49:23,-2.6,16°,53° (NE),Iridium 64,56 km (W),-5.6,-8°,Helsinki,Finland,60.17,25.0,
Mar 12, 19:10:49,0.4,13°,3° (N),Iridium 67,81 km (E),-6.1,-22°,Helsinki,Finland,60.17,25.0,
Mar 12, 19:20:41,-4.7,10°,3° (N),Iridium 68,22 km (W),-5.7,-23°,Helsinki,Finland,60.17,25.0,
Mar 13, 02:47:45,-0.8,21°,15° (NNE),Iridium 84,41 km (W),-6.5,-15°,Helsinki,Finland,60.17,25.0,
Mar 13, 03:15:05,-5.2,11°,44° (NE),Iridium 64,18 km (E),-5.3,-12°,Helsinki,Finland,60.17,25.0,
Mar 13, 03:24:32,-1.6,13°,47° (NE),Iridium 65,101 km (W),-5.4,-11°,Helsinki,Finland,60.17,25.0,
Mar 6, 17:50:46,-2.2,57°,153° (SSE),Iridium 41,18 km (E),-8.3,-9°,Copenhagen,Denmark,55.67,12.57,
Mar 7, 17:45:19,0.7,57°,153° (SSE),Iridium 15,42 km (E),-8.3,-8°,Copenhagen,Denmark,55.67,12.57,
Mar 9, 05:41:17,-5.9,22°,70° (ENE),Iridium 65,2 km (W),-5.9,-1°,Copenhagen,Denmark,55.67,12.57,
Mar 9, 17:41:45,-0.6,59°,169° (S),Iridium 98,28 km (W),-8.2,-7°,Copenhagen,Denmark,55.67,12.57,
Mar 11, 03:53:07,-6.5,24°,14° (NNE),Iridium 84,6 km (E),-6.7,-15°,Copenhagen,Denmark,55.67,12.57,
Mar 11, 05:10:29,-3.1,16°,65° (ENE),Iridium 21,39 km (E),-5.5,-4°,Copenhagen,Denmark,55.67,12.57,
Mar 11, 20:02:01,-0.4,9°,2° (N),Iridium 21,88 km (E),-5.8,-25°,Copenhagen,Denmark,55.67,12.57,
Mar 12, 03:47:12,-3.8,23°,14° (NNE),Iridium 12,14 km (W),-6.6,-16°,Copenhagen,Denmark,55.67,12.57,
Mar 12, 03:48:54,-1.7,24°,14° (NNE),Iridium 90,28 km (W),-6.8,-15°,Copenhagen,Denmark,55.67,12.57,
Mar 12, 04:45:41,-0.6,12°,59° (ENE),Iridium 72,112 km (E),-5.2,-8°,Copenhagen,Denmark,55.67,12.57,
Mar 12, 04:55:02,-4.8,14°,62° (ENE),Iridium 75,31 km (E),-5.3,-6°,Copenhagen,Denmark,55.67,12.57,
Mar 12, 19:55:44,-5.8,11°,2° (N),Iridium 70,7 km (E),-5.9,-24°,Copenhagen,Denmark,55.67,12.57,
Mar 13, 04:30:10,-1.5,10°,56° (NE),Iridium 70,101 km (E),-5.1,-9°,Copenhagen,Denmark,55.67,12.57,
Mar 13, 04:39:36,-1.0,12°,59° (ENE),Iridium 62,119 km (W),-5.2,-8°,Copenhagen,Denmark,55.67,12.57,
Mar 6, 21:09:29,-0.3,37°,1° (N),Iridium 56,34 km (W),-7.6,-15°,Shanghai,China,31.17,121.47,
Mar 8, 10:43:09,-4.1,52°,167° (SSE),Iridium 81,10 km (W),-8.2,-11°,Shanghai,China,31.17,121.47,
Mar 10, 10:33:29,-1.6,53°,167° (SSE),Iridium 98,20 km (E),-8.2,-8°,Shanghai,China,31.17,121.47,
Mar 10, 20:45:48,-3.5,29°,3° (N),Iridium 52,13 km (W),-7.2,-19°,Shanghai,China,31.17,121.47,
Mar 11, 10:29:58,-0.2,54°,177° (S),Iridium 81,32 km (W),-8.2,-7°,Shanghai,China,31.17,121.47,
Mar 11, 20:39:56,0.0,27°,2° (N),Iridium 10,41 km (W),-7.1,-20°,Shanghai,China,31.17,121.47,
Mar 12, 12:01:36,-0.2,19°,10° (N),Iridium 65,39 km (W),-6.7,-27°,Shanghai,China,31.17,121.47,
Mar 12, 20:34:06,-1.2,24°,3° (N),Iridium 13,28 km (W),-7.0,-21°,Shanghai,China,31.17,121.47,
Mar 7, 00:02:18,-4.9,36°,2° (N),Iridium 83,7 km (E),-7.6,-16°,New Delhi,India,28.58,77.2,
Mar 7, 13:46:02,-4.1,50°,165° (SSE),Iridium 80,11 km (W),-8.1,-12°,New Delhi,India,28.58,77.2,
Mar 8, 23:50:26,-2.3,32°,3° (N),Iridium 84,18 km (E),-7.4,-18°,New Delhi,India,28.58,77.2,
Mar 9, 23:44:33,0.2,30°,4° (N),Iridium 12,40 km (E),-7.2,-19°,New Delhi,India,28.58,77.2,
Mar 10, 23:38:41,-2.2,28°,3° (N),Iridium 86,19 km (E),-7.1,-20°,New Delhi,India,28.58,77.2,
Mar 12, 14:54:18,-4.9,20°,13° (NNE),Iridium 62,10 km (E),-6.8,-26°,New Delhi,India,28.58,77.2,
Mar 12, 23:27:06,1.0,22°,4° (N),Iridium 10,54 km (E),-6.8,-22°,New Delhi,India,28.58,77.2,
Mar 7, 02:17:37,-1.2,38°,1° (N),Iridium 52,24 km (E),-7.6,-16°,Rio de Janeiro,Brazil,22.95,43.2,
Mar 8, 02:11:41,-4.1,36°,360° (N),Iridium 10,10 km (E),-7.6,-17°,Rio de Janeiro,Brazil,22.95,43.2,
Mar 9, 02:05:47,0.1,33°,2° (N),Iridium 13,38 km (E),-7.4,-18°,Rio de Janeiro,Brazil,22.95,43.2,
Mar 9, 02:28:30,-9.5,46°,1° (N),Iridium 40,0 km (E),-9.8,-13°,Rio de Janeiro,Brazil,22.95,43.2,
Mar 6, 16:14:08,-0.9,45°,169° (S),Iridium 98,29 km (W),-7.9,-15°,Djibouti,Djibouti,11.5,43.05,
Mar 7, 16:08:52,-1.1,46°,171° (S),Iridium 18,26 km (W),-8.0,-13°,Djibouti,Djibouti,11.5,43.05,
Mar 9, 02:25:34,-0.6,48°,3° (N),Iridium 40,23 km (E),-10.0,-14°,Djibouti,Djibouti,11.5,43.05,
Mar 8, 02:53:15,-1.4,32°,8° (N),Iridium 83,24 km (E),-7.3,-16°,Ankara,Turkey,39.92,32.92,
Mar 10, 02:41:25,-5.0,28°,7° (N),Iridium 84,8 km (E),-7.1,-17°,Ankara,Turkey,39.92,32.92,
Mar 10, 18:13:57,-1.1,10°,6° (N),Iridium 65,71 km (E),-6.0,-28°,Ankara,Turkey,39.92,32.92,
Mar 11, 02:35:33,-3.3,26°,8° (N),Iridium 12,14 km (E),-6.9,-18°,Ankara,Turkey,39.92,32.92,
Mar 11, 18:07:22,-1.3,12°,7° (N),Iridium 68,32 km (E),-6.2,-27°,Ankara,Turkey,39.92,32.92,
Mar 12, 02:29:41,-1.7,24°,7° (N),Iridium 86,26 km (W),-6.9,-19°,Ankara,Turkey,39.92,32.92,
Mar 12, 18:00:47,0.6,16°,8° (N),Iridium 75,51 km (E),-6.4,-25°,Ankara,Turkey,39.92,32.92,
Mar 13, 02:23:54,-3.1,21°,9° (N),Iridium 52,17 km (E),-6.7,-20°,Ankara,Turkey,39.92,32.92,
Mar 7, 14:07:05,-1.8,48°,168° (SSE),Iridium 41,21 km (W),-8.0,-13°,Bombay,India,19.0,72.8,
Mar 10, 00:02:20,-1.5,33°,358° (N),Iridium 90,22 km (E),-7.5,-20°,Bombay,India,19.0,72.8,
Mar 6, 17:31:57,0.3,34°,7° (N),Iridium 86,40 km (E),-7.4,-15°,Auckland,New Zealand,36.87,174.75,
Mar 8, 06:52:33,-2.4,54°,176° (S),Iridium 39,16 km (W),-8.3,-7°,Auckland,New Zealand,36.87,174.75,
Mar 10, 08:46:47,0.8,10°,6° (N),Iridium 21,210 km (W),-6.0,-29°,Auckland,New Zealand,36.87,174.75,
Mar 11, 08:40:33,-3.9,11°,7° (N),Iridium 70,15 km (E),-6.1,-28°,Auckland,New Zealand,36.87,174.75,
Mar 12, 08:33:40,-6.4,15°,8° (N),Iridium 64,0 km (E),-6.4,-26°,Auckland,New Zealand,36.87,174.75,
Mar 6, 18:16:48,0.7,56°,173° (S),Iridium 39,41 km (W),-8.3,-8°,Plymouth,England,50.42,4.08,
Mar 8, 04:45:54,0.4,29°,12° (NNE),Iridium 86,44 km (E),-7.1,-15°,Plymouth,England,50.42,4.08,
Mar 10, 04:34:07,-0.2,26°,13° (NNE),Iridium 10,38 km (E),-6.8,-16°,Plymouth,England,50.42,4.08,
Mar 11, 04:28:14,-1.1,24°,13° (NNE),Iridium 13,30 km (E),-6.7,-16°,Plymouth,England,50.42,4.08,
Mar 11, 04:29:18,-4.7,25°,12° (NNE),Iridium 90,9 km (E),-6.9,-16°,Plymouth,England,50.42,4.08,
Mar 11, 05:58:07,-5.0,15°,73° (ENE),Iridium 14,17 km (E),-5.1,-2°,Plymouth,England,50.42,4.08,
Mar 12, 04:22:22,-2.7,22°,13° (NNE),Iridium 50,20 km (E),-6.6,-17°,Plymouth,England,50.42,4.08,
Mar 12, 05:42:42,-4.2,12°,70° (ENE),Iridium 65,45 km (W),-5.0,-4°,Plymouth,England,50.42,4.08,
Mar 12, 20:11:54,-1.0,14°,4° (N),Iridium 14,41 km (E),-6.2,-24°,Plymouth,England,50.42,4.08,
Mar 13, 04:16:27,-4.7,21°,12° (NNE),Iridium 53,11 km (W),-6.6,-17°,Plymouth,England,50.42,4.08,
Mar 13, 05:27:15,-0.4,10°,67° (ENE),Iridium 67,166 km (W),-4.9,-6°,Plymouth,England,50.42,4.08,
Mar 8, 00:29:19,1.0,37°,360° (N),Iridium 10,48 km (E),-7.6,-18°,La Paz,Bolivia,16.45,68.37,
Mar 7, 15:47:36,-2.9,48°,168° (SSE),Iridium 41,16 km (W),-8.0,-13°,Tananarive,Madagascar,18.83,47.55,
Mar 10, 01:42:10,0.6,33°,360° (N),Iridium 90,44 km (E),-7.5,-20°,Tananarive,Madagascar,18.83,47.55,
Mar 6, 20:35:24,-5.3,48°,7° (N),Iridium 40,7 km (E),-9.8,-10°,Osaka,Japan,34.53,135.5,
Mar 11, 11:14:53,0.4,12°,7° (N),Iridium 67,47 km (W),-6.2,-28°,Osaka,Japan,34.53,135.5,
Mar 12, 11:08:02,-2.5,17°,9° (N),Iridium 72,18 km (W),-6.6,-26°,Osaka,Japan,34.53,135.5,
Mar 7, 14:17:46,0.8,52°,167° (SSE),Iridium 39,43 km (E),-8.3,-8°,Córdoba,Argentina,31.47,64.17,
Mar 9, 14:27:48,-3.8,53°,169° (SSE),Iridium 98,11 km (W),-8.2,-10°,Córdoba,Argentina,31.47,64.17,
Mar 10, 00:40:08,-1.9,31°,2° (N),Iridium 52,22 km (W),-7.3,-18°,Córdoba,Argentina,31.47,64.17,
Mar 11, 00:34:15,0.6,28°,1° (N),Iridium 10,48 km (W),-7.2,-19°,Córdoba,Argentina,31.47,64.17,
Mar 12, 00:28:24,-0.7,26°,2° (N),Iridium 13,33 km (W),-7.1,-20°,Córdoba,Argentina,31.47,64.17,
Mar 12, 15:50:03,-2.6,19°,11° (N),Iridium 68,18 km (W),-6.7,-26°,Córdoba,Argentina,31.47,64.17,
Mar 13, 00:22:34,-2.6,24°,3° (N),Iridium 50,18 km (W),-6.9,-21°,Córdoba,Argentina,31.47,64.17,
Mar 7, 03:27:50,-7.3,34°,8° (N),Iridium 83,2 km (W),-7.4,-14°,Bucharest,Romania,44.42,26.12,
Mar 7, 17:02:20,-4.9,55°,161° (SSE),Iridium 80,8 km (W),-8.2,-10°,Bucharest,Romania,44.42,26.12,
Mar 8, 03:21:57,-0.7,32°,10° (N),Iridium 56,29 km (E),-7.2,-15°,Bucharest,Romania,44.42,26.12,
Mar 9, 03:15:57,-1.9,30°,8° (N),Iridium 84,22 km (W),-7.2,-16°,Bucharest,Romania,44.42,26.12,
Mar 10, 03:10:03,-2.4,28°,8° (N),Iridium 12,19 km (W),-7.1,-16°,Bucharest,Romania,44.42,26.12,
Mar 11, 18:45:53,-5.7,9°,4° (N),Iridium 70,9 km (E),-5.8,-27°,Bucharest,Romania,44.42,26.12,
Mar 12, 02:58:18,-2.4,24°,9° (N),Iridium 52,20 km (W),-6.8,-18°,Bucharest,Romania,44.42,26.12,
Mar 12, 18:39:20,0.5,11°,3° (N),Iridium 64,57 km (W),-6.0,-26°,Bucharest,Romania,44.42,26.12,
Mar 6, 18:23:01,0.0,57°,151° (SSE),Iridium 15,35 km (E),-8.3,-9°,Glasgow,Scotland,55.83,4.25,
Mar 7, 04:53:18,0.4,31°,14° (NNE),Iridium 12,42 km (E),-7.1,-13°,Glasgow,Scotland,55.83,4.25,
Mar 8, 04:47:22,-6.9,30°,13° (NNE),Iridium 86,5 km (E),-7.1,-13°,Glasgow,Scotland,55.83,4.25,
Mar 8, 18:15:09,-0.2,57°,157° (SSE),Iridium 98,32 km (E),-8.3,-7°,Glasgow,Scotland,55.83,4.25,
Mar 9, 04:41:28,-0.6,28°,14° (NNE),Iridium 52,33 km (E),-7.0,-14°,Glasgow,Scotland,55.83,4.25,
Mar 10, 04:35:31,-3.7,27°,13° (NNE),Iridium 10,13 km (W),-6.9,-14°,Glasgow,Scotland,55.83,4.25,
Mar 10, 06:03:37,-5.8,53°,17° (NNE),Iridium 82,1 km (W),-8.4,-2°,Glasgow,Scotland,55.83,4.25,
Mar 10, 06:02:26,-5.7,20°,68° (ENE),Iridium 75,2 km (E),-5.7,-2°,Glasgow,Scotland,55.83,4.25,
Mar 11, 04:29:36,-1.5,25°,13° (NNE),Iridium 13,28 km (W),-6.8,-15°,Glasgow,Scotland,55.83,4.25,
Mar 11, 04:30:41,0.1,26°,13° (NNE),Iridium 90,44 km (W),-6.9,-15°,Glasgow,Scotland,55.83,4.25,
Mar 11, 05:47:03,-4.1,17°,65° (ENE),Iridium 62,31 km (W),-5.6,-4°,Glasgow,Scotland,55.83,4.25,
Mar 11, 20:38:49,0.1,8°,2° (N),Iridium 62,26 km (E),-5.7,-25°,Glasgow,Scotland,55.83,4.25,
Mar 12, 04:14:54,-0.2,20°,15° (NNE),Iridium 86,46 km (E),-6.4,-16°,Glasgow,Scotland,55.83,4.25,
Mar 12, 04:23:41,0.0,24°,13° (NNE),Iridium 50,46 km (W),-6.7,-15°,Glasgow,Scotland,55.83,4.25,
Mar 12, 05:12:53,1.0,11°,57° (ENE),Iridium 62,187 km (E),-5.2,-8°,Glasgow,Scotland,55.83,4.25,
Mar 12, 05:22:14,-2.0,13°,60° (ENE),Iridium 14,68 km (E),-5.3,-7°,Glasgow,Scotland,55.83,4.25,
Mar 12, 20:22:40,-0.4,13°,3° (N),Iridium 64,57 km (E),-6.1,-23°,Glasgow,Scotland,55.83,4.25,
Mar 12, 20:32:40,0.6,9°,2° (N),Iridium 65,91 km (W),-5.7,-24°,Glasgow,Scotland,55.83,4.25,
Mar 13, 04:09:04,0.5,18°,15° (NNE),Iridium 52,60 km (E),-6.3,-17°,Glasgow,Scotland,55.83,4.25,
Mar 13, 05:06:47,-3.1,11°,57° (ENE),Iridium 65,66 km (W),-5.2,-9°,Glasgow,Scotland,55.83,4.25,
Mar 13, 05:16:10,1.0,13°,60° (ENE),Iridium 66,225 km (W),-5.3,-8°,Glasgow,Scotland,55.83,4.25,
Mar 6, 21:34:17,-5.4,38°,359° (N),Iridium 84,7 km (W),-7.7,-16°,Hong Kong,China,22.33,114.18,
Mar 7, 21:28:21,-1.5,36°,1° (N),Iridium 12,22 km (E),-7.6,-17°,Hong Kong,China,22.33,114.18,
Mar 8, 21:22:26,-4.3,34°,359° (N),Iridium 86,9 km (E),-7.5,-18°,Hong Kong,China,22.33,114.18,
Mar 8, 21:25:24,0.4,35°,356° (N),Iridium 90,42 km (W),-7.6,-18°,Hong Kong,China,22.33,114.18,
Mar 9, 11:09:32,0.9,49°,164° (SSE),Iridium 98,46 km (E),-8.1,-10°,Hong Kong,China,22.33,114.18,
Mar 12, 21:22:29,-8.2,40°,359° (N),Iridium 40,0 km (E),-9.4,-17°,Hong Kong,China,22.33,114.18,
Mar 7, 01:44:51,-7.4,35°,5° (N),Iridium 83,2 km (W),-7.5,-15°,Teheran,Iran,35.75,51.75,
Mar 7, 15:24:24,-5.2,52°,163° (SSE),Iridium 80,8 km (W),-8.2,-11°,Teheran,Iran,35.75,51.75,
Mar 8, 01:38:59,0.3,33°,7° (N),Iridium 56,40 km (E),-7.3,-16°,Teheran,Iran,35.75,51.75,
Mar 9, 01:32:59,-7.1,31°,5° (N),Iridium 84,5 km (W),-7.3,-17°,Teheran,Iran,35.75,51.75,
Mar 10, 01:27:06,-4.5,29°,6° (N),Iridium 12,9 km (E),-7.2,-18°,Teheran,Iran,35.75,51.75,
Mar 11, 01:21:14,-2.2,27°,5° (N),Iridium 86,21 km (W),-7.1,-19°,Teheran,Iran,35.75,51.75,
Mar 12, 01:15:26,-0.7,24°,7° (N),Iridium 52,32 km (E),-6.9,-20°,Teheran,Iran,35.75,51.75,
Mar 13, 01:09:34,-6.1,22°,6° (N),Iridium 10,8 km (W),-6.8,-21°,Teheran,Iran,35.75,51.75,
Mar 7, 05:10:23,-0.6,32°,12° (NNE),Iridium 83,31 km (E),-7.2,-14°,London,England,51.53,0.08,
Mar 7, 18:40:44,-4.2,57°,158° (SSE),Iridium 80,9 km (E),-8.3,-9°,London,England,51.53,0.08,
Mar 9, 04:58:29,-6.9,29°,12° (NNE),Iridium 84,4 km (W),-7.0,-15°,London,England,51.53,0.08,
Mar 10, 04:52:34,-4.8,27°,12° (NNE),Iridium 12,9 km (W),-6.9,-15°,London,England,51.53,0.08,
Mar 11, 04:46:39,0.9,26°,11° (N),Iridium 86,58 km (W),-6.9,-16°,London,England,51.53,0.08,
Mar 11, 20:37:03,0.5,11°,3° (N),Iridium 62,100 km (E),-6.0,-25°,London,England,51.53,0.08,
Mar 12, 04:40:47,-1.3,24°,12° (NNE),Iridium 52,31 km (W),-6.7,-16°,London,England,51.53,0.08,
Mar 12, 05:51:19,-4.9,12°,67° (ENE),Iridium 66,23 km (E),-5.0,-5°,London,England,51.53,0.08,
Mar 12, 20:30:34,-2.9,13°,3° (N),Iridium 65,23 km (E),-6.1,-24°,London,England,51.53,0.08,
Mar 13, 04:26:12,-0.1,18°,14° (NNE),Iridium 84,52 km (E),-6.3,-18°,London,England,51.53,0.08,
Mar 13, 05:45:12,0.5,12°,67° (ENE),Iridium 21,204 km (W),-5.0,-6°,London,England,51.53,0.08,
Mar 7, 11:23:16,-8.1,49°,165° (SSE),Iridium 81,0 km (W),-8.1,-12°,Canton,China,23.12,113.25,
Mar 10, 11:10:03,-0.6,52°,174° (S),Iridium 81,29 km (W),-8.1,-9°,Canton,China,23.12,113.25,
Mar 10, 21:20:02,0.8,30°,357° (N),Iridium 54,48 km (W),-7.4,-19°,Canton,China,23.12,113.25,
Mar 10, 21:37:06,-1.2,43°,4° (N),Iridium 40,21 km (E),-9.6,-15°,Canton,China,23.12,113.25,
Mar 12, 11:00:07,-8.1,53°,175° (S),Iridium 80,1 km (W),-8.1,-7°,Canton,China,23.12,113.25,
Mar 12, 21:08:18,-3.2,26°,359° (N),Iridium 56,15 km (W),-7.1,-21°,Canton,China,23.12,113.25,
Mar 6, 18:15:56,-3.1,56°,165° (SSE),Iridium 39,13 km (E),-8.4,-7°,Liverpool,England,53.42,3.0,
Mar 6, 18:32:51,-2.7,57°,159° (SSE),Iridium 81,16 km (W),-8.3,-9°,Liverpool,England,53.42,3.0,
Mar 7, 05:01:41,-4.8,33°,12° (NNE),Iridium 13,9 km (W),-7.3,-13°,Liverpool,England,53.42,3.0,
Mar 8, 04:55:46,-4.9,31°,12° (NNE),Iridium 50,9 km (W),-7.2,-13°,Liverpool,England,53.42,3.0,
Mar 8, 04:55:37,-1.7,32°,11° (N),Iridium 90,23 km (W),-7.3,-13°,Liverpool,England,53.42,3.0,
Mar 8, 18:24:59,-1.1,58°,166° (SSE),Iridium 41,25 km (W),-8.3,-8°,Liverpool,England,53.42,3.0,
Mar 9, 04:49:50,-1.9,30°,12° (NNE),Iridium 53,23 km (W),-7.1,-14°,Liverpool,England,53.42,3.0,
Mar 9, 18:19:46,-3.6,58°,168° (SSE),Iridium 81,12 km (W),-8.3,-7°,Liverpool,England,53.42,3.0,
Mar 10, 04:43:59,-0.2,28°,12° (NNE),Iridium 54,39 km (W),-7.0,-14°,Liverpool,England,53.42,3.0,
Mar 11, 04:30:17,0.9,23°,14° (NNE),Iridium 90,56 km (E),-6.7,-16°,Liverpool,England,53.42,3.0,
Mar 11, 05:57:02,-5.3,16°,69° (ENE),Iridium 14,4 km (E),-5.4,-3°,Liverpool,England,53.42,3.0,
Mar 11, 20:38:09,0.6,8°,2° (N),Iridium 62,7 km (W),-5.7,-26°,Liverpool,England,53.42,3.0,
Mar 12, 04:23:21,0.8,21°,14° (NNE),Iridium 50,60 km (E),-6.5,-17°,Liverpool,England,53.42,3.0,
Mar 12, 05:32:16,-0.6,12°,64° (ENE),Iridium 64,113 km (E),-5.1,-6°,Liverpool,England,53.42,3.0,
Mar 12, 18:06:40,-4.6,58°,177° (S),Iridium 81,8 km (W),-8.2,-4°,Liverpool,England,53.42,3.0,
Mar 12, 20:21:55,-0.4,14°,3° (N),Iridium 64,53 km (E),-6.2,-23°,Liverpool,England,53.42,3.0,
Mar 13, 04:17:25,-2.3,20°,14° (NNE),Iridium 53,25 km (E),-6.4,-17°,Liverpool,England,53.42,3.0,
Mar 13, 05:16:48,-4.6,10°,61° (ENE),Iridium 66,51 km (W),-5.0,-8°,Liverpool,England,53.42,3.0,
Mar 13, 05:26:09,-0.2,12°,63° (ENE),Iridium 67,158 km (W),-5.1,-7°,Liverpool,England,53.42,3.0,
Mar 7, 13:03:35,-0.9,49°,168° (SSE),Iridium 81,27 km (W),-8.1,-13°,Calcutta,India,22.57,88.4,
Mar 8, 23:05:21,-0.5,34°,1° (N),Iridium 90,31 km (E),-7.6,-18°,Calcutta,India,22.57,88.4,
Mar 12, 12:40:45,0.3,53°,180° (S),Iridium 80,37 km (W),-8.1,-7°,Calcutta,India,22.57,88.4,
Mar 12, 22:48:36,0.5,26°,357° (N),Iridium 56,47 km (W),-7.1,-21°,Calcutta,India,22.57,88.4,
Mar 6, 21:30:14,-0.4,36°,5° (N),Iridium 53,33 km (W),-7.5,-14°,Beijing,China,39.92,116.42,
Mar 7, 21:24:25,-0.6,34°,5° (N),Iridium 54,31 km (W),-7.4,-15°,Beijing,China,39.92,116.42,
Mar 9, 10:55:18,-8.1,55°,166° (SSE),Iridium 80,3 km (W),-8.2,-9°,Beijing,China,39.92,116.42,
Mar 9, 21:12:33,-1.6,30°,6° (N),Iridium 56,24 km (W),-7.2,-17°,Beijing,China,39.92,116.42,
Mar 11, 12:39:14,0.5,9°,4° (N),Iridium 65,63 km (W),-5.9,-28°,Beijing,China,39.92,116.42,
Mar 11, 22:17:32,-5.4,51°,15° (NNE),Iridium 82,0 km (E),-8.3,-3°,Beijing,China,39.92,116.42,
Mar 12, 12:32:25,-0.1,13°,5° (N),Iridium 68,43 km (W),-6.2,-26°,Beijing,China,39.92,116.42,
Mar 7, 04:49:42,-2.7,33°,9° (N),Iridium 12,16 km (E),-7.3,-15°,Marseilles,France,43.33,5.33,
Mar 8, 04:43:47,-3.5,32°,7° (N),Iridium 86,13 km (W),-7.3,-15°,Marseilles,France,43.33,5.33,
Mar 9, 04:37:54,-0.3,29°,10° (N),Iridium 52,34 km (E),-7.1,-16°,Marseilles,France,43.33,5.33,
Mar 10, 04:31:59,-7.0,28°,9° (N),Iridium 10,2 km (W),-7.0,-17°,Marseilles,France,43.33,5.33,
Mar 11, 04:26:08,-6.9,26°,9° (N),Iridium 13,0 km (W),-6.9,-18°,Marseilles,France,43.33,5.33,
Mar 11, 04:27:13,-1.2,27°,8° (N),Iridium 90,28 km (W),-7.1,-17°,Marseilles,France,43.33,5.33,
Mar 11, 18:09:42,1.0,56°,178° (S),Iridium 80,45 km (W),-8.1,-6°,Marseilles,France,43.33,5.33,
Mar 11, 20:07:44,0.9,9°,3° (N),Iridium 72,72 km (W),-5.8,-27°,Marseilles,France,43.33,5.33,
Mar 12, 04:20:17,-6.8,24°,9° (N),Iridium 50,1 km (W),-6.8,-18°,Marseilles,France,43.33,5.33,
Mar 13, 04:14:24,-2.5,22°,9° (N),Iridium 53,21 km (W),-6.7,-19°,Marseilles,France,43.33,5.33,
Mar 7, 03:42:33,-0.9,31°,17° (NNE),Iridium 86,29 km (E),-7.1,-11°,Reykjavík,Iceland,64.07,21.97,
Mar 7, 03:51:34,0.7,34°,15° (NNE),Iridium 50,47 km (W),-7.3,-10°,Reykjavík,Iceland,64.07,21.97,
Mar 7, 04:55:45,-6.4,27°,57° (ENE),Iridium 64,3 km (E),-6.5,-3°,Reykjavík,Iceland,64.07,21.97,
Mar 8, 03:36:37,0.5,29°,17° (NNE),Iridium 52,46 km (E),-7.0,-12°,Reykjavík,Iceland,64.07,21.97,
Mar 8, 04:40:22,-6.3,24°,54° (NE),Iridium 66,2 km (W),-6.3,-5°,Reykjavík,Iceland,64.07,21.97,
Mar 8, 16:42:40,-8.1,58°,172° (S),Iridium 39,3 km (W),-8.3,-4°,Reykjavík,Iceland,64.07,21.97,
Mar 9, 03:30:38,-6.9,28°,17° (NNE),Iridium 10,0 km (W),-6.9,-12°,Reykjavík,Iceland,64.07,21.97,
Mar 9, 04:11:41,0.3,42°,15° (NNE),Iridium 40,28 km (W),-9.0,-7°,Reykjavík,Iceland,64.07,21.97,
Mar 9, 04:15:35,0.5,20°,49° (NE),Iridium 67,103 km (E),-6.1,-7°,Reykjavík,Iceland,64.07,21.97,
Mar 9, 04:24:57,-3.6,22°,51° (NE),Iridium 68,28 km (E),-6.2,-6°,Reykjavík,Iceland,64.07,21.97,
Mar 9, 04:29:23,-4.6,9°,107° (ESE),Iridium 68,15 km (E),-4.7,-6°,Reykjavík,Iceland,64.07,21.97,
Mar 10, 03:24:42,-2.5,27°,16° (NNE),Iridium 13,19 km (W),-6.9,-12°,Reykjavík,Iceland,64.07,21.97,
Mar 10, 04:00:09,-0.3,18°,46° (NE),Iridium 21,90 km (E),-5.9,-8°,Reykjavík,Iceland,64.07,21.97,
Mar 10, 04:09:31,-5.9,20°,49° (NE),Iridium 72,9 km (W),-6.0,-7°,Reykjavík,Iceland,64.07,21.97,
